out_name,frequency,units,long_name,standard_name,priority,priority_urb,priority_conv,comment,cell_measures,cell_methods,dimensions,ok_max_mean_abs,ok_min_mean_abs,positive,type,valid_max,valid_min
tsskin,day,K,Skin temperature,skin_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
tsskin,mon,K,Skin temperature,skin_temperature,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
ua1000,1hr,m s-1,Eastward Wind,eastward_wind,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p1000,,,,real,,
ua1000,6hr,m s-1,Eastward Wind,eastward_wind,,URB-TIER1,,,area: areacella,area: mean time: point,longitude latitude time1 p1000,,,,real,,
ua1000,day,m s-1,Eastward Wind,eastward_wind,I4C-TIER1,URB-TIER1,,#T33,area: areacella,area: time: mean,longitude latitude time p1000,,,,real,,
ua1000,mon,m s-1,Eastward Wind,eastward_wind,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p1000,,,,real,,
ua100m,1hr,m s-1,Eastward Wind at 100m,eastward_wind,,,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1 height100m,,,,real,,
ua200,1hr,m s-1,Eastward Wind,eastward_wind,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p200,,,,real,,
ua200,day,m s-1,Eastward Wind,eastward_wind,I4C-TIER1,,,#T33,area: areacella,area: time: mean,longitude latitude time p200,,,,real,,
ua500,1hr,m s-1,Eastward Wind,eastward_wind,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p500,,,,real,,
ua500,day,m s-1,Eastward Wind,eastward_wind,I4C-TIER1,,,#T33 #WP4,area: areacella,area: time: mean,longitude latitude time p500,,,,real,,
ua50m,1hr,m s-1,Eastward Wind at 50m,eastward_wind,,URB-TIER1,,,area: areacella,area: mean time: point,longitude latitude time1 height50m,,,,real,,
ua50m,day,m s-1,Eastward Wind at 50m,eastward_wind,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time height50m,,,,real,,
ua50m,mon,m s-1,Eastward Wind at 50m,eastward_wind,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time height50m,,,,real,,
ua700,1hr,m s-1,Eastward Wind,eastward_wind,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p700,,,,real,,
ua700,6hr,m s-1,Eastward Wind,eastward_wind,,URB-TIER1,,,area: areacella,area: mean time: point,longitude latitude time1 p700,,,,real,,
